Pull_Number,Arm_Pulled,Reward,Cumulative_Reward,Regret
452,21,20,9540,1555.418300653595
453,21,23,9563,1556.9656862745105
454,21,16,9579,1565.513071895426
455,21,39,9618,1551.0604575163397
456,21,23,9641,1552.6078431372553
457,12,4,9645,1573.1552287581708
458,21,33,9678,1564.7026143790845
459,21,25,9703,1564.25
460,21,27,9730,1561.7973856209155
461,21,22,9752,1564.344771241831
462,22,8,9760,1580.8921568627447
463,15,26,9786,1579.4395424836603
464,21,30,9816,1573.9869281045758
465,21,17,9833,1581.5343137254913
466,21,28,9861,1578.081699346405
467,6,17,9878,1585.6290849673205
468,21,17,9895,1593.176470588236
469,21,24,9919,1593.7238562091516
470,21,13,9932,1605.2712418300653
471,3,13,9945,1616.8186274509808
472,21,26,9971,1615.3660130718963
473,8,8,9979,1631.91339869281
474,21,28,10007,1628.4607843137255
475,21,22,10029,1631.008169934641
476,21,23,10052,1632.5555555555566
477,18,14,10066,1643.1029411764703
478,21,25,10091,1642.6503267973858
479,21,22,10113,1645.1977124183013
480,20,33,10146,1636.7450980392168
481,21,24,10170,1637.2924836601305
482,21,28,10198,1633.839869281046
483,21,24,10222,1634.3872549019616
484,3,21,10243,1637.9346405228753
485,11,14,10257,1648.4820261437908
486,8,16,10273,1657.0294117647063
487,21,27,10300,1654.5767973856218
488,21,16,10316,1663.1241830065355
489,5,27,10343,1660.671568627451
490,9,17,10360,1668.2189542483666
491,21,22,10382,1670.766339869282
492,21,20,10402,1675.3137254901958
493,21,25,10427,1674.8611111111113
494,10,20,10447,1679.4084967320268
495,18,14,10461,1689.9558823529424
496,21,24,10485,1690.503267973856
497,21,30,10515,1685.0506535947716
498,21,19,10534,1690.598039215687
499,21,30,10564,1685.1454248366008
500,20,19,10583,1690.6928104575163
501,21,22,10605,1693.2401960784318
502,21,23,10628,1694.7875816993474
503,12,4,10632,1715.334967320261
504,7,19,10651,1720.8823529411766
505,21,20,10671,1725.429738562092
506,21,26,10697,1723.9771241830076
507,10,25,10722,1723.5245098039213
508,21,21,10743,1727.0718954248368
509,14,9,10752,1742.6192810457524
510,21,27,10779,1740.1666666666679
511,21,24,10803,1740.7140522875816
512,21,23,10826,1742.261437908497
513,21,26,10852,1740.8088235294126
514,21,22,10874,1743.3562091503263
515,21,24,10898,1743.9035947712418
516,21,24,10922,1744.4509803921574
517,21,25,10947,1743.9983660130729
518,21,31,10978,1737.5457516339866
519,9,20,10998,1742.093137254902
520,7,18,11016,1748.6405228758176
521,21,29,11045,1744.1879084967331
522,21,27,11072,1741.7352941176468
523,21,29,11101,1737.2826797385624
524,21,26,11127,1735.8300653594779
525,21,19,11146,1741.3774509803934
526,21,26,11172,1739.924836601307
527,21,19,11191,1745.4722222222226
528,4,20,11211,1750.0196078431381
529,8,12,11223,1762.5669934640518
530,21,29,11252,1758.1143790849674
531,18,11,11263,1771.661764705883
532,21,20,11283,1776.2091503267984
533,13,21,11304,1779.756535947712
534,21,27,11331,1777.3039215686276
535,21,29,11360,1772.8513071895431
536,13,20,11380,1777.3986928104587
537,21,28,11408,1773.9460784313724
538,21,23,11431,1775.493464052288
539,21,22,11453,1778.0408496732034
540,21,22,11475,1780.588235294119
541,19,9,11484,1796.1356209150326
542,21,20,11504,1800.6830065359482
543,10,20,11524,1805.2303921568637
544,21,28,11552,1801.7777777777774
545,21,28,11580,1798.325163398693
546,21,26,11606,1796.8725490196084
547,21,24,11630,1797.419934640524
548,21,33,11663,1788.9673202614376
